iter	Passed	Remaining
950	6434	331
951	6440	324
952	6446	317
953	6454	311
954	6461	304
955	6470	297
956	6476	290
957	6482	284
958	6488	277
959	6496	270
960	6502	263
961	6508	257
962	6514	250
963	6520	243
964	6527	236
965	6533	229
966	6539	223
967	6546	216
968	6552	209
969	6559	202
970	6566	196
971	6571	189
972	6579	182
973	6584	175
974	6591	169
975	6597	162
976	6603	155
977	6610	148
978	6624	142
979	6633	135
980	6642	128
981	6651	121
982	6664	115
983	6671	108
984	6677	101
985	6683	94
986	6690	88
987	6696	81
988	6701	74
989	6708	67
990	6714	60
991	6720	54
992	6726	47
993	6732	40
994	6738	33
995	6744	27
996	6750	20
997	6757	13
998	6764	6
999	6773	0
